,縣市,行政區,得票數,得票率,已送投開票所數,應送投開票所數,時間
179,苗栗縣,公館鄉,0,0.0,0,28,20181124-172451
180,苗栗縣,銅鑼鄉,0,0.0,0,16,20181124-172451
181,苗栗縣,南庄鄉,0,0.0,0,9,20181124-172451
182,苗栗縣,頭屋鄉,0,0.0,0,12,20181124-172451
183,苗栗縣,三義鄉,0,0.0,0,16,20181124-172451
184,苗栗縣,西湖鄉,0,0.0,0,9,20181124-172452
185,苗栗縣,造橋鄉,0,0.0,0,12,20181124-172452
186,苗栗縣,三灣鄉,0,0.0,0,9,20181124-172452
187,苗栗縣,獅潭鄉,0,0.0,0,7,20181124-172452
188,苗栗縣,泰安鄉,0,0.0,0,10,20181124-172453
189,彰化縣,彰化市,0,0.0,0,184,20181124-172453
190,彰化縣,鹿港鎮,0,0.0,0,65,20181124-172453
191,彰化縣,和美鎮,0,0.0,0,68,20181124-172453
192,彰化縣,線西鄉,0,0.0,0,12,20181124-172453
193,彰化縣,伸港鄉,0,0.0,0,28,20181124-172454
194,彰化縣,福興鄉,0,0.0,0,33,20181124-172454
195,彰化縣,秀水鄉,0,0.0,0,32,20181124-172454
196,彰化縣,花壇鄉,0,0.0,0,37,20181124-172454
197,彰化縣,芬園鄉,0,0.0,0,21,20181124-172455
198,彰化縣,員林市,0,0.0,0,98,20181124-172455
199,彰化縣,溪湖鎮,0,0.0,0,42,20181124-172455
200,彰化縣,田中鎮,0,0.0,0,36,20181124-172455
201,彰化縣,大村鄉,0,0.0,0,27,20181124-172455
202,彰化縣,埔鹽鄉,0,0.0,0,29,20181124-172456
203,彰化縣,埔心鄉,0,0.0,0,31,20181124-172456
204,彰化縣,永靖鄉,0,0.0,0,34,20181124-172456
205,彰化縣,社頭鄉,0,0.0,0,38,20181124-172456
206,彰化縣,二水鄉,0,0.0,0,17,20181124-172456
207,彰化縣,北斗鎮,0,0.0,0,30,20181124-172457
208,彰化縣,二林鎮,0,0.0,0,39,20181124-172457
209,彰化縣,田尾鄉,0,0.0,0,25,20181124-172457
210,彰化縣,埤頭鄉,0,0.0,0,27,20181124-172457
211,彰化縣,芳苑鄉,0,0.0,0,36,20181124-172457
212,彰化縣,大城鄉,0,0.0,0,17,20181124-172458
213,彰化縣,竹塘鄉,0,0.0,0,16,20181124-172458
214,彰化縣,溪州鄉,0,0.0,0,27,20181124-172458
215,南投縣,南投市,0,0.0,0,84,20181124-172458
216,南投縣,埔里鎮,0,0.0,0,68,20181124-172458
217,南投縣,草屯鎮,0,0.0,0,76,20181124-172459
218,南投縣,竹山鎮,109,72.19,1,53,20181124-172459
219,南投縣,集集鎮,0,0.0,0,13,20181124-172459
220,南投縣,名間鄉,0,0.0,0,37,20181124-172459
221,南投縣,鹿谷鄉,0,0.0,0,21,20181124-172500
222,南投縣,中寮鄉,0,0.0,0,24,20181124-172500
223,南投縣,魚池鄉,75,56.39,1,25,20181124-172500
224,南投縣,國姓鄉,0,0.0,0,20,20181124-172500
225,南投縣,水里鄉,0,0.0,0,22,20181124-172501
226,南投縣,信義鄉,0,0.0,0,20,20181124-172501
227,南投縣,仁愛鄉,144,70.94,1,25,20181124-172501
228,雲林縣,斗六市,0,0.0,0,69,20181124-172501
229,雲林縣,斗南鎮,0,0.0,0,33,20181124-172501
230,雲林縣,虎尾鎮,0,0.0,0,46,20181124-172502
231,雲林縣,西螺鎮,0,0.0,0,34,20181124-172502
232,雲林縣,土庫鎮,0,0.0,0,29,20181124-172502
233,雲林縣,北港鎮,0,0.0,0,41,20181124-172502
234,雲林縣,古坑鄉,0,0.0,0,27,20181124-172502
235,雲林縣,大埤鄉,0,0.0,0,18,20181124-172503
236,雲林縣,莿桐鄉,0,0.0,0,22,20181124-172503
237,雲林縣,林內鄉,0,0.0,0,15,20181124-172503
238,雲林縣,二崙鄉,0,0.0,0,23,20181124-172503
239,雲林縣,崙背鄉,0,0.0,0,20,20181124-172504
240,雲林縣,麥寮鄉,0,0.0,0,28,20181124-172504
241,雲林縣,東勢鄉,0,0.0,0,15,20181124-172504
242,雲林縣,褒忠鄉,0,0.0,0,14,20181124-172504
243,雲林縣,臺西鄉,0,0.0,0,22,20181124-172505
244,雲林縣,元長鄉,0,0.0,0,25,20181124-172505
245,雲林縣,四湖鄉,0,0.0,0,25,20181124-172505
246,雲林縣,口湖鄉,0,0.0,0,25,20181124-172505
247,雲林縣,水林鄉,0,0.0,0,26,20181124-172506
248,嘉義縣,太保市,0,0.0,0,33,20181124-172506
249,嘉義縣,朴子市,0,0.0,0,35,20181124-172506
250,嘉義縣,布袋鎮,0,0.0,0,29,20181124-172506
251,嘉義縣,大林鎮,0,0.0,0,25,20181124-172507
252,嘉義縣,民雄鄉,0,0.0,0,45,20181124-172507
253,嘉義縣,溪口鄉,0,0.0,0,17,20181124-172507
254,嘉義縣,新港鄉,0,0.0,0,31,20181124-172507
255,嘉義縣,六腳鄉,0,0.0,0,30,20181124-172507
256,嘉義縣,東石鄉,0,0.0,0,27,20181124-172508
257,嘉義縣,義竹鄉,0,0.0,0,26,20181124-172508
258,嘉義縣,鹿草鄉,0,0.0,0,20,20181124-172508
259,嘉義縣,水上鄉,0,0.0,0,39,20181124-172509
260,嘉義縣,中埔鄉,0,0.0,0,34,20181124-172509
261,嘉義縣,竹崎鄉,0,0.0,0,36,20181124-172509
262,嘉義縣,梅山鄉,0,0.0,0,22,20181124-172509
263,嘉義縣,番路鄉,0,0.0,0,15,20181124-172510
264,嘉義縣,大埔鄉,0,0.0,0,9,20181124-172510
265,嘉義縣,阿里山鄉,0,0.0,0,13,20181124-172510
266,屏東縣,屏東市,0,0.0,0,149,20181124-172510
267,屏東縣,潮州鎮,0,0.0,0,40,20181124-172510
268,屏東縣,東港鎮,0,0.0,0,38,20181124-172511
269,屏東縣,恆春鎮,0,0.0,0,25,20181124-172511
270,屏東縣,萬丹鄉,0,0.0,0,39,20181124-172511
271,屏東縣,長治鄉,0,0.0,0,22,20181124-172511
272,屏東縣,麟洛鄉,0,0.0,0,10,20181124-172512
273,屏東縣,九如鄉,0,0.0,0,14,20181124-172512
274,屏東縣,里港鄉,0,0.0,0,20,20181124-172512
275,屏東縣,鹽埔鄉,0,0.0,0,20,20181124-172512
276,屏東縣,高樹鄉,0,0.0,0,22,20181124-172512
277,屏東縣,萬巒鄉,0,0.0,0,18,20181124-172513
278,屏東縣,內埔鄉,0,0.0,0,40,20181124-172513
279,屏東縣,竹田鄉,0,0.0,0,16,20181124-172513
280,屏東縣,新埤鄉,0,0.0,0,12,20181124-172513
281,屏東縣,枋寮鄉,0,0.0,0,22,20181124-172514
282,屏東縣,新園鄉,0,0.0,0,28,20181124-172514
283,屏東縣,崁頂鄉,0,0.0,0,12,20181124-172514
284,屏東縣,林邊鄉,0,0.0,0,16,20181124-172514
285,屏東縣,南州鄉,0,0.0,0,11,20181124-172514
286,屏東縣,佳冬鄉,0,0.0,0,16,20181124-172515
287,屏東縣,琉球鄉,0,0.0,0,9,20181124-172515
288,屏東縣,車城鄉,0,0.0,0,13,20181124-172515
289,屏東縣,滿州鄉,0,0.0,0,8,20181124-172515
290,屏東縣,枋山鄉,0,0.0,0,6,20181124-172516
291,屏東縣,三地門鄉,0,0.0,0,10,20181124-172516
292,屏東縣,霧臺鄉,0,0.0,0,8,20181124-172516
293,屏東縣,瑪家鄉,0,0.0,0,8,20181124-172516
294,屏東縣,泰武鄉,0,0.0,0,7,20181124-172516
295,屏東縣,來義鄉,0,0.0,0,9,20181124-172517
296,屏東縣,春日鄉,0,0.0,0,6,20181124-172517
297,屏東縣,獅子鄉,0,0.0,0,8,20181124-172517
298,屏東縣,牡丹鄉,0,0.0,0,7,20181124-172517
299,宜蘭縣,宜蘭市,0,0.0,0,78,20181124-172517
300,宜蘭縣,羅東鎮,0,0.0,0,50,20181124-172518
301,宜蘭縣,蘇澳鎮,0,0.0,0,43,20181124-172518
302,宜蘭縣,頭城鎮,0,0.0,0,32,20181124-172518
303,宜蘭縣,礁溪鄉,0,0.0,0,32,20181124-172518
304,宜蘭縣,壯圍鄉,0,0.0,0,23,20181124-172519
305,宜蘭縣,員山鄉,0,0.0,0,31,20181124-172519
306,宜蘭縣,冬山鄉,0,0.0,0,39,20181124-172519
307,宜蘭縣,五結鄉,0,0.0,0,33,20181124-172519
308,宜蘭縣,三星鄉,0,0.0,0,21,20181124-172520
309,宜蘭縣,大同鄉,4,12.12,1,10,20181124-172520
310,宜蘭縣,南澳鄉,0,0.0,0,7,20181124-172520
311,花蓮縣,花蓮市,0,0.0,0,81,20181124-172520
312,花蓮縣,鳳林鎮,0,0.0,0,15,20181124-172520
313,花蓮縣,玉里鎮,0,0.0,0,23,20181124-172521
314,花蓮縣,新城鄉,0,0.0,0,19,20181124-172521
315,花蓮縣,吉安鄉,0,0.0,0,59,20181124-172521
316,花蓮縣,壽豐鄉,0,0.0,0,21,20181124-172521
317,花蓮縣,光復鄉,0,0.0,0,17,20181124-172522
318,花蓮縣,豐濱鄉,0,0.0,0,7,20181124-172522
319,花蓮縣,瑞穗鄉,0,0.0,0,13,20181124-172522
320,花蓮縣,富里鄉,0,0.0,0,13,20181124-172522
321,花蓮縣,秀林鄉,0,0.0,0,14,20181124-172522
322,花蓮縣,萬榮鄉,0,0.0,0,7,20181124-172523
323,花蓮縣,卓溪鄉,0,0.0,0,10,20181124-172523
324,臺東縣,臺東市,0,0.0,0,69,20181124-172523
325,臺東縣,成功鎮,0,0.0,0,17,20181124-172523
