,city,district,url
127,高雄市,苓雅區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000000800000000.html
128,高雄市,前鎮區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000000900000000.html
129,高雄市,旗津區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000001000000000.html
130,高雄市,小港區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000001100000000.html
131,高雄市,鳳山區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000001200000000.html
132,高雄市,林園區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000001300000000.html
133,高雄市,大寮區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000001400000000.html
134,高雄市,大樹區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000001500000000.html
135,高雄市,大社區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000001600000000.html
136,高雄市,仁武區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000001700000000.html
137,高雄市,鳥松區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000001800000000.html
138,高雄市,岡山區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000001900000000.html
139,高雄市,橋頭區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000002000000000.html
140,高雄市,燕巢區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000002100000000.html
141,高雄市,田寮區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000002200000000.html
142,高雄市,阿蓮區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000002300000000.html
143,高雄市,路竹區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000002400000000.html
144,高雄市,湖內區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000002500000000.html
145,高雄市,茄萣區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000002600000000.html
146,高雄市,永安區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000002700000000.html
147,高雄市,彌陀區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000002800000000.html
148,高雄市,梓官區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000002900000000.html
149,高雄市,旗山區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000003000000000.html
150,高雄市,美濃區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000003100000000.html
151,高雄市,六龜區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000003200000000.html
152,高雄市,甲仙區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000003300000000.html
153,高雄市,杉林區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000003400000000.html
154,高雄市,內門區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000003500000000.html
155,高雄市,茂林區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000003600000000.html
156,高雄市,桃源區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000003700000000.html
157,高雄市,那瑪夏區,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n64000003800000000.html
158,新竹縣,竹北市,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10004000100000000.html
159,新竹縣,竹東鎮,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10004000200000000.html
160,新竹縣,新埔鎮,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10004000300000000.html
161,新竹縣,關西鎮,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10004000400000000.html
162,新竹縣,湖口鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10004000500000000.html
163,新竹縣,新豐鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10004000600000000.html
164,新竹縣,芎林鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10004000700000000.html
165,新竹縣,橫山鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10004000800000000.html
166,新竹縣,北埔鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10004000900000000.html
167,新竹縣,寶山鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10004001000000000.html
168,新竹縣,峨眉鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10004001100000000.html
169,新竹縣,尖石鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10004001200000000.html
170,新竹縣,五峰鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10004001300000000.html
171,苗栗縣,苗栗市,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10005000100000000.html
172,苗栗縣,苑裡鎮,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10005000200000000.html
173,苗栗縣,通霄鎮,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10005000300000000.html
174,苗栗縣,竹南鎮,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10005000400000000.html
175,苗栗縣,頭份市,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10005000500000000.html
176,苗栗縣,後龍鎮,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10005000600000000.html
177,苗栗縣,卓蘭鎮,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10005000700000000.html
178,苗栗縣,大湖鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10005000800000000.html
179,苗栗縣,公館鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10005000900000000.html
180,苗栗縣,銅鑼鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10005001000000000.html
181,苗栗縣,南庄鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10005001100000000.html
182,苗栗縣,頭屋鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10005001200000000.html
183,苗栗縣,三義鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10005001300000000.html
