,案號,縣市,行政區,同意,不同意,有效,無效,投票數,投票權人數,投票率,有效同意票數對投票權人數百分比,已送投開票所數,應送投開票所數
369,8,臺北市,信義區,0,0,0,0,0,0,0,0,0,142
370,8,臺北市,大安區,0,0,0,0,0,0,0,0,0,188
371,8,臺北市,中山區,0,0,0,0,0,0,0,0,0,133
372,8,臺北市,中正區,0,0,0,0,0,0,0,0,0,96
373,8,臺北市,大同區,0,0,0,0,0,0,0,0,0,82
374,8,臺北市,萬華區,0,0,0,0,0,0,0,0,0,117
375,8,臺北市,文山區,0,0,0,0,0,0,0,0,0,162
376,8,臺北市,南港區,0,0,0,0,0,0,0,0,0,72
377,8,臺北市,內湖區,0,0,0,0,0,0,0,0,0,150
378,8,臺北市,士林區,0,0,0,0,0,0,0,0,0,163
379,8,臺北市,北投區,0,0,0,0,0,0,0,0,0,141
380,8,新北市,板橋區,0,0,0,0,0,0,0,0,0,338
381,8,新北市,三重區,0,0,0,0,0,0,0,0,0,235
382,8,新北市,中和區,0,0,0,0,0,0,0,0,0,244
383,8,新北市,永和區,0,0,0,0,0,0,0,0,0,138
384,8,新北市,新莊區,0,0,0,0,0,0,0,0,0,253
385,8,新北市,新店區,0,0,0,0,0,0,0,0,0,176
386,8,新北市,樹林區,0,0,0,0,0,0,0,0,0,111
387,8,新北市,鶯歌區,0,0,0,0,0,0,0,0,0,50
388,8,新北市,三峽區,0,0,0,0,0,0,0,0,0,70
