,no,city,district,url
97,7,臺南市,七股區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000001500000000.html
98,7,臺南市,將軍區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000001600000000.html
99,7,臺南市,北門區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000001700000000.html
100,7,臺南市,新化區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000001800000000.html
101,7,臺南市,善化區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000001900000000.html
102,7,臺南市,新市區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000002000000000.html
103,7,臺南市,安定區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000002100000000.html
104,7,臺南市,山上區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000002200000000.html
105,7,臺南市,玉井區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000002300000000.html
106,7,臺南市,楠西區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000002400000000.html
107,7,臺南市,南化區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000002500000000.html
108,7,臺南市,左鎮區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000002600000000.html
109,7,臺南市,仁德區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000002700000000.html
110,7,臺南市,歸仁區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000002800000000.html
111,7,臺南市,關廟區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000002900000000.html
112,7,臺南市,龍崎區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000003000000000.html
113,7,臺南市,永康區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000003100000000.html
114,7,臺南市,東區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000003200000000.html
115,7,臺南市,南區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000003300000000.html
116,7,臺南市,北區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000003400000000.html
117,7,臺南市,安南區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000003500000000.html
118,7,臺南市,安平區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000003600000000.html
119,7,臺南市,中西區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/67000003700000000.html
120,7,高雄市,鹽埕區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000000100000000.html
121,7,高雄市,鼓山區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000000200000000.html
122,7,高雄市,左營區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000000300000000.html
123,7,高雄市,楠梓區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000000400000000.html
