107年臺北市市長選舉候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,
行政區別,村里別,投開票所別,吳蕚洋,丁守中,姚文智,柯文哲,李錫錕,有效票數,無效票數,投票數,已領未投票數,發出票數,用餘票數,選舉人數(原領票數),投票率
　　,樟新里,1524,4,361,101,288,2,756,8,764,0,764,357,"1,121",68.15
　　,樟新里,1525,8,397,107,285,5,802,4,806,0,806,369,"1,175",68.60
　　,樟新里,1526,5,348,121,291,1,766,7,773,0,773,402,"1,175",65.79
　　,樟新里,1527,3,360,83,344,4,794,10,804,0,804,332,"1,136",70.77
　　,樟文里,1528,7,408,133,382,4,934,4,938,0,938,405,"1,343",69.84
　　,樟文里,1529,1,389,144,306,1,841,8,849,0,849,425,"1,274",66.64
　　,樟文里,1530,3,342,133,331,6,815,9,824,0,824,431,"1,255",65.66
　　,樟文里,1531,2,402,106,340,8,858,8,866,0,866,396,"1,262",68.62
　　,樟腳里,1532,5,472,138,403,2,"1,020",8,"1,028",0,"1,028",538,"1,566",65.64
　　,樟腳里,1533,5,448,179,440,6,"1,078",11,"1,089",0,"1,089",557,"1,646",66.16
　　,樟腳里,1534,2,439,121,442,9,"1,013",5,"1,018",0,"1,018",502,"1,520",66.97
　　,樟樹里,1535,5,390,143,369,2,909,8,917,0,917,365,"1,282",71.53
　　,樟樹里,1536,2,431,149,401,2,985,20,"1,005",0,"1,005",373,"1,378",72.93
　　,樟樹里,1537,1,429,132,398,2,962,10,972,0,972,440,"1,412",68.84
　　,萬芳里,1538,4,450,112,471,6,"1,043",10,"1,053",0,"1,053",544,"1,597",65.94
　　,萬芳里,1539,3,358,103,350,4,818,10,828,0,828,424,"1,252",66.13
　　,萬芳里,1540,4,396,75,327,0,802,5,807,0,807,371,"1,178",68.51
　　,萬芳里,1541,3,455,91,339,4,892,5,897,0,897,363,"1,260",71.19
　　,萬芳里,1542,2,449,112,340,5,908,5,913,0,913,501,"1,414",64.57
